,BRAND,CATEGORY,DOLS
157,glamglow,COSMETICS,
158,gucci,COSMETICS,1022.0
159,guerlain,COSMETICS,275980.0
160,healthbeauto,COSMETICS,616.0
161,ifirmation,COSMETICS,9087.0
162,jafra,COSMETICS,4824.0
163,jane,COSMETICS,170.0
164,jergens,COSMETICS,65701.0
165,julep,COSMETICS,1758.0
166,kiss,COSMETICS,14766.0
167,korres,COSMETICS,197.0
168,lancome,COSMETICS,660261.0
169,lorac,COSMETICS,1648192.0
170,lotus,COSMETICS,
171,lubriderm,COSMETICS,36738.0
172,lush,COSMETICS,106.0
173,lyrei,COSMETICS,1972.0
174,mac,COSMETICS,15041.0
175,manhattan,COSMETICS,
176,mark,COSMETICS,352.0
177,milani,COSMETICS,34729.0
178,monteil,COSMETICS,4191.0
179,mychelle,COSMETICS,
180,nars,COSMETICS,1597.0
181,natura,COSMETICS,2488.0
182,neova,COSMETICS,65.0
183,neutrogena,COSMETICS,633859.0
184,nexacell,COSMETICS,48.0
185,note,COSMETICS,216.0
186,novalash,COSMETICS,184360.0
187,nyx,COSMETICS,24149.0
188,ofra,COSMETICS,1253.0
189,olay,COSMETICS,2304438.0
190,omorovicza,COSMETICS,106.0
191,oribe,COSMETICS,9001.0
192,origins,COSMETICS,6824.0
193,orlane,COSMETICS,1884.0
194,physicians,COSMETICS,23534.0
195,plumderma,COSMETICS,18467.0
196,prescriptives,COSMETICS,575.0
197,proskin,COSMETICS,8346.0
198,renaissance,COSMETICS,5534.0
199,repechage,COSMETICS,7501.0
200,revlon,COSMETICS,7005277.0
201,rimmel,COSMETICS,29041.0
202,sarantis,COSMETICS,11767.0
203,shiseido,COSMETICS,687890.0
204,sidasta,COSMETICS,3633.0
205,skinnight,COSMETICS,2295.0
206,smashbox,COSMETICS,278689.0
207,stila,COSMETICS,
208,stowaway,COSMETICS,16768.0
209,taras,COSMETICS,88339.0
210,tarte,COSMETICS,4632.0
211,trestique,COSMETICS,
212,tribetats,COSMETICS,107.0
213,tritats,COSMETICS,1123.0
214,trydermavie,COSMETICS,310095.0
215,tweezerman,COSMETICS,67830.0
216,tyra,COSMETICS,354313.0
217,ulta,COSMETICS,1971054.0
218,unilever,COSMETICS,17558.0
219,vichy,COSMETICS,
220,xxv,COSMETICS,3343.0
221,yourbeautyderm,COSMETICS,15138.0
222,yuni,COSMETICS,812.0
223,zenjenskin,COSMETICS,1775.0
224,aarp,FINANCIAL_SERVICES,28462.0
225,amazon,FINANCIAL_SERVICES,15650.0
226,artoken,FINANCIAL_SERVICES,876.0
227,bankrate,FINANCIAL_SERVICES,9988.0
228,bitconcept,FINANCIAL_SERVICES,3639.0
229,bitcosmos,FINANCIAL_SERVICES,987.0
230,bitquick,FINANCIAL_SERVICES,
231,bitstrades,FINANCIAL_SERVICES,3248.0
232,bittank,FINANCIAL_SERVICES,576.0
233,boscoin,FINANCIAL_SERVICES,
234,brickblock,FINANCIAL_SERVICES,4104.0
235,coinmama,FINANCIAL_SERVICES,
