,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
233,boscoin,,FINANCIAL_SERVICES,0,0,1,0,0,1,3,1,1,0,7,1,0,0,1,2
234,brickblock,4104.0,FINANCIAL_SERVICES,0,1,0,0,0,2,2,1,4,0,10,0,0,0,1,1
235,coinmama,,FINANCIAL_SERVICES,1,0,0,0,0,3,4,0,0,1,8,0,0,0,1,1
236,compcoin,6858.0,FINANCIAL_SERVICES,0,0,1,0,0,2,3,0,1,0,8,0,0,0,1,2
237,crypterium,,FINANCIAL_SERVICES,0,0,1,0,0,4,3,0,2,0,10,0,0,0,2,1
238,currencyliquidator,,FINANCIAL_SERVICES,0,0,1,0,0,6,7,0,2,0,18,0,0,0,3,3
239,ecocoins,,FINANCIAL_SERVICES,0,0,0,1,0,1,4,0,0,0,8,1,1,0,2,2
240,eroscoin,,FINANCIAL_SERVICES,0,0,1,0,0,2,4,0,0,0,8,1,1,0,2,2
241,evr,,FINANCIAL_SERVICES,0,0,1,0,0,1,1,0,0,0,3,1,1,0,1,0
242,finney,9172.0,FINANCIAL_SERVICES,0,0,0,0,1,3,2,0,0,1,6,1,0,0,3,0
243,fortrade,32391.0,FINANCIAL_SERVICES,0,0,0,0,1,2,3,0,2,1,8,1,0,0,1,1
244,goldmint,128.0,FINANCIAL_SERVICES,0,1,0,0,0,3,2,1,3,0,8,0,0,0,1,1
245,herocoin,932.0,FINANCIAL_SERVICES,0,0,1,0,0,2,4,0,0,0,8,0,0,0,2,2
246,kencoin,2659.0,FINANCIAL_SERVICES,0,0,1,0,0,2,3,1,1,0,7,0,0,0,2,1
247,kexcoin,264.0,FINANCIAL_SERVICES,0,0,1,0,0,1,3,1,1,0,7,0,0,0,2,1
248,kin,531.0,FINANCIAL_SERVICES,0,0,1,0,0,1,1,1,1,0,3,0,0,0,1,0
249,kitcoin,366600.0,FINANCIAL_SERVICES,0,0,1,0,0,1,3,1,2,0,7,0,0,0,2,1
250,maincoin,,FINANCIAL_SERVICES,0,0,1,0,0,3,4,0,0,0,8,0,0,1,2,1
251,megamine,837.0,FINANCIAL_SERVICES,0,0,0,0,0,3,4,0,1,1,8,0,0,1,3,0
252,meridian,,FINANCIAL_SERVICES,0,0,1,0,0,3,4,0,1,0,8,0,0,1,3,0
253,mtfx,1356.0,FINANCIAL_SERVICES,0,0,0,0,0,1,0,0,1,0,4,1,0,1,0,0
254,nametoken,31923.0,FINANCIAL_SERVICES,0,0,1,0,0,3,4,0,2,0,9,0,0,1,2,1
255,ofx,702135.0,FINANCIAL_SERVICES,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1
256,paycent,923.0,FINANCIAL_SERVICES,0,1,0,0,0,2,2,1,2,0,7,0,0,0,1,0
257,paysafe,11139.0,FINANCIAL_SERVICES,0,0,0,0,0,1,3,1,1,1,7,2,0,0,1,0
258,pendo,22489.0,FINANCIAL_SERVICES,0,0,0,0,0,1,2,1,2,1,5,0,0,0,1,1
259,proequities,15038.0,FINANCIAL_SERVICES,0,0,0,1,0,1,6,1,2,0,11,1,0,0,3,2
260,proof,588.0,FINANCIAL_SERVICES,0,0,0,1,0,1,2,1,1,0,5,1,0,0,0,1
261,qvolta,,FINANCIAL_SERVICES,1,0,0,0,0,1,2,0,1,1,6,1,0,0,0,1
262,recoin,,FINANCIAL_SERVICES,0,0,1,0,0,2,3,0,0,0,6,0,0,1,2,1
263,rollmycoin,,FINANCIAL_SERVICES,0,0,1,0,0,6,3,0,0,0,10,0,0,1,1,2
264,skincoin,,FINANCIAL_SERVICES,0,0,1,0,1,2,3,0,1,0,8,1,0,0,2,1
265,smartmoney,,FINANCIAL_SERVICES,0,0,0,0,1,5,3,0,1,1,10,1,0,0,2,1
266,sprig,10238.0,FINANCIAL_SERVICES,0,1,0,0,1,1,1,0,2,0,5,1,0,0,1,0
267,tokendesk,348.0,FINANCIAL_SERVICES,0,1,0,0,0,1,3,1,4,0,9,1,0,0,2,1
268,tokenstars,198.0,FINANCIAL_SERVICES,0,0,0,1,0,2,3,1,3,0,10,2,0,0,1,1
269,usforex,9531.0,FINANCIAL_SERVICES,0,0,0,0,0,1,3,0,0,0,7,2,1,0,1,2
270,adrenaline,15409.0,BBQ,0,0,0,0,0,4,5,0,1,1,10,0,1,0,3,0
271,denmark,9995.0,BBQ,0,1,0,0,0,3,2,1,2,0,7,0,0,0,1,0
272,kalamazoo,3545.0,BBQ,0,0,0,0,0,2,5,1,1,1,9,1,0,0,0,1
273,kingsford,1292764.0,BBQ,0,1,0,0,0,2,2,1,3,0,9,2,0,0,1,1
274,texas,,BBQ,0,0,0,1,0,0,2,1,1,0,5,1,0,0,1,0
275,weber,25831.0,BBQ,0,0,1,0,0,2,2,0,1,0,5,0,0,1,2,0
276,agebeautiful,2747039.0,HAIR_PRODUCTS,0,0,1,0,0,1,7,0,3,0,12,1,1,0,3,2
277,alfaparf,74509.0,HAIR_PRODUCTS,0,0,0,1,0,2,3,0,1,0,8,2,1,0,0,0
278,aveda,18002.0,HAIR_PRODUCTS,1,0,0,0,0,0,3,0,1,1,5,1,1,0,1,0
279,avena,7501.0,HAIR_PRODUCTS,1,0,0,0,0,1,3,0,0,1,5,1,1,0,1,0
280,bigen,2242163.0,HAIR_PRODUCTS,0,0,1,0,0,1,2,1,2,0,5,0,0,0,2,0
281,chromasilk,74478.0,HAIR_PRODUCTS,0,1,0,0,1,3,3,0,1,0,10,2,0,0,1,1
282,clairol,63125.0,HAIR_PRODUCTS,0,0,1,0,0,3,3,0,0,0,7,0,0,0,1,1
283,colordesign,48006.0,HAIR_PRODUCTS,0,0,1,0,0,3,4,0,2,0,11,1,0,0,2,2
284,colorphlex,93689.0,HAIR_PRODUCTS,0,0,0,0,0,3,3,0,1,0,10,0,0,0,1,2
285,colorproof,132694.0,HAIR_PRODUCTS,0,0,0,1,0,3,4,0,1,0,10,1,0,0,0,3
286,colorsmash,17681.0,HAIR_PRODUCTS,0,0,0,1,0,3,3,0,0,0,10,2,0,0,0,2
287,colortrak,61603.0,HAIR_PRODUCTS,0,1,0,0,0,3,3,0,2,0,9,0,0,0,0,2
288,deciem,193.0,HAIR_PRODUCTS,0,0,1,0,0,1,3,1,1,0,6,0,0,0,2,0
289,dphue,45966.0,HAIR_PRODUCTS,0,0,0,0,0,0,2,1,2,1,5,0,0,0,1,1
290,esalon,274116.0,HAIR_PRODUCTS,0,0,1,0,0,2,3,0,0,0,6,1,1,0,1,1
291,hoyu,18002.0,HAIR_PRODUCTS,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0,2
292,inoa,,HAIR_PRODUCTS,1,0,0,0,0,1,3,0,0,1,4,0,1,0,1,1
293,jonathan,2958.0,HAIR_PRODUCTS,0,0,1,0,1,2,3,0,1,0,8,2,0,0,0,1
294,keune,68747.0,HAIR_PRODUCTS,0,0,0,0,0,1,3,1,1,1,5,0,0,0,2,1
295,koleston,5123.0,HAIR_PRODUCTS,0,0,1,0,0,2,3,1,2,0,8,1,0,0,1,2
296,lakme,36004.0,HAIR_PRODUCTS,0,0,0,0,0,2,2,0,1,1,5,0,0,1,1,0
297,lanza,27003.0,HAIR_PRODUCTS,1,0,0,0,0,2,2,0,0,1,5,1,0,1,0,0
298,leland,10236.0,HAIR_PRODUCTS,0,1,0,0,0,3,2,0,1,0,6,0,0,1,1,0
299,matrix,35004.0,HAIR_PRODUCTS,0,0,0,0,0,2,2,0,1,0,6,0,0,1,1,0
300,naturtint,10941315.0,HAIR_PRODUCTS,0,1,0,0,0,3,3,0,3,0,9,0,0,1,1,1
301,oway,123580.0,HAIR_PRODUCTS,0,0,0,0,0,2,2,0,0,1,4,0,1,0,1,1
302,paintglow,,HAIR_PRODUCTS,0,0,0,0,0,3,3,1,3,0,9,0,0,0,1,1
303,pureology,184829.0,HAIR_PRODUCTS,0,0,0,0,0,3,4,1,2,1,9,0,0,0,2,3
304,redken,73732.0,HAIR_PRODUCTS,0,0,1,0,0,2,2,0,2,0,6,0,0,1,2,0
305,reparex,,HAIR_PRODUCTS,0,0,0,0,0,2,3,0,1,0,7,0,0,1,2,0
306,satin,5085392.0,HAIR_PRODUCTS,0,0,1,0,1,1,2,0,1,0,5,1,0,0,1,0
307,schwarzkopf,21115.0,HAIR_PRODUCTS,0,0,0,1,1,2,2,0,2,0,11,4,0,0,0,1
308,scruples,59186.0,HAIR_PRODUCTS,0,0,0,1,1,2,2,0,1,0,8,2,0,0,1,1
309,splat,2336995.0,HAIR_PRODUCTS,0,1,0,0,1,1,1,0,2,0,5,1,0,0,0,0
310,tca,29469.0,HAIR_PRODUCTS,1,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0
311,tigi,28077.0,HAIR_PRODUCTS,0,0,0,0,0,0,2,1,2,1,4,0,0,0,2,0
312,tressa,56578.0,HAIR_PRODUCTS,1,0,0,0,0,1,2,1,1,1,6,2,0,0,1,0
313,wella,70082.0,HAIR_PRODUCTS,1,0,0,0,0,3,2,0,0,1,5,0,0,1,1,0
314,abellan,176715.0,JEWELRY,0,0,1,0,0,3,3,0,1,0,7,0,1,0,1,0
315,adora,,JEWELRY,1,0,0,0,0,1,3,0,1,1,5,0,1,0,0,1
316,alamea,14479.0,JEWELRY,1,0,0,0,0,2,4,0,0,1,6,0,1,0,1,0
317,albertos,628620.0,JEWELRY,0,0,0,1,0,2,3,0,2,0,8,1,1,0,1,1
318,alishan,8545.0,JEWELRY,0,0,1,0,0,2,3,0,0,0,7,1,1,0,1,0
319,alor,59644.0,JEWELRY,0,0,1,0,0,2,2,0,0,0,4,0,1,0,0,1
320,always,73495.0,JEWELRY,0,0,0,1,0,3,2,0,0,0,6,1,1,0,0,0
321,amden,30742.0,JEWELRY,0,0,1,0,0,2,2,0,1,0,5,0,1,0,1,0
322,amgad,322650.0,JEWELRY,0,1,0,0,0,1,2,0,2,0,5,0,1,0,0,0
323,angelica,32623.0,JEWELRY,1,0,0,0,0,2,4,0,1,1,8,0,1,0,2,0
324,anjolee,743.0,JEWELRY,0,0,0,0,0,2,4,0,0,1,7,1,1,0,1,1
325,annoushka,283.0,JEWELRY,1,0,0,0,0,2,4,0,1,1,9,1,1,0,0,1
326,antonini,40980.0,JEWELRY,0,0,0,0,0,3,4,0,1,1,8,0,1,0,2,1
327,armenta,18447.0,JEWELRY,1,0,0,0,0,3,3,0,1,1,7,0,1,0,1,0
328,arpas,26419.0,JEWELRY,0,0,0,1,0,1,2,0,1,0,5,1,1,0,0,0
329,artcarved,64023.0,JEWELRY,0,1,0,0,0,2,3,0,2,0,9,1,1,0,1,0
330,artemest,24949.0,JEWELRY,0,1,0,0,0,2,3,0,2,0,8,1,1,0,2,0
331,artistry,82368.0,JEWELRY,0,0,0,0,0,3,2,0,2,1,8,1,1,0,2,0
332,asher,28394.0,JEWELRY,0,0,1,0,0,1,2,0,0,0,5,1,1,0,1,0
333,ashk,,JEWELRY,0,1,0,0,0,0,1,0,1,0,4,1,1,0,0,0
334,asprey,155250.0,JEWELRY,0,0,0,0,0,2,2,0,1,1,6,1,1,0,2,0
335,assael,427235.0,JEWELRY,0,0,1,0,0,1,3,0,0,0,6,2,1,0,1,0
336,astoria,,JEWELRY,1,0,0,0,0,1,4,0,1,1,7,1,1,0,1,1
337,attos,450.0,JEWELRY,0,0,0,1,0,0,2,0,2,0,5,1,1,0,0,1
338,australian,2539.0,JEWELRY,0,0,1,0,0,3,5,0,1,0,10,1,1,0,1,1
339,baccarat,15876.0,JEWELRY,0,1,0,0,0,1,3,1,2,0,8,0,0,0,0,0
340,baggins,5641.0,JEWELRY,0,0,0,1,0,1,2,1,3,0,7,1,0,0,1,0
341,balenciaga,813648.0,JEWELRY,1,0,0,0,0,2,5,1,2,1,10,0,0,0,2,0
342,bamboo,16383.0,JEWELRY,0,0,0,0,0,1,3,1,2,1,6,0,0,0,0,1
343,barsky,33997.0,JEWELRY,0,0,0,0,0,2,1,1,2,1,6,1,0,0,1,0
344,bayco,54050.0,JEWELRY,0,0,0,0,0,1,2,1,1,1,5,0,0,0,0,1
345,becoming,721.0,JEWELRY,0,1,1,0,0,2,3,1,2,0,8,0,0,0,2,1
346,belfiore,9309.0,JEWELRY,0,0,0,0,0,2,4,1,1,1,8,1,0,0,3,1
347,bellarri,11940.0,JEWELRY,0,0,0,0,0,4,3,1,1,1,8,0,0,0,2,0
348,benchmark,45915.0,JEWELRY,0,1,0,0,0,3,2,1,2,0,9,1,0,0,1,0
349,bijan,242416.0,JEWELRY,0,0,1,0,0,1,2,1,1,0,5,1,0,0,1,0
350,bioring,2917.0,JEWELRY,0,1,1,0,0,2,3,1,2,0,7,0,0,0,2,1
351,blvckout,915.0,JEWELRY,0,1,0,0,0,1,2,1,3,0,8,1,0,0,0,1
352,boma,14951.0,JEWELRY,1,0,0,0,0,1,2,1,1,1,4,0,0,0,0,1
353,brayce,267.0,JEWELRY,0,0,0,0,0,2,2,1,1,1,6,0,0,0,1,0
354,breguet,162160.0,JEWELRY,0,1,0,0,0,1,3,1,3,0,7,0,0,0,2,1
355,brighton,5830.0,JEWELRY,0,0,1,0,0,2,2,1,3,0,8,0,0,0,1,1
356,brosway,5000.0,JEWELRY,0,0,0,0,0,3,2,1,1,1,7,1,0,0,1,1
357,buccellati,18780.0,JEWELRY,0,0,0,0,0,2,4,1,2,1,10,0,0,0,2,1
358,bulgari,1870278.0,JEWELRY,0,0,0,0,0,2,3,1,2,1,7,0,0,0,1,1
359,cadar,890720.0,JEWELRY,0,0,1,0,0,1,2,0,1,0,5,0,0,0,0,0
360,canadamark,11902.0,JEWELRY,0,1,0,0,0,3,4,0,2,0,10,0,0,0,0,0
361,carelle,199.0,JEWELRY,0,0,0,0,0,3,3,0,0,1,7,0,0,0,2,0
362,carlex,413.0,JEWELRY,0,0,0,0,0,2,2,0,0,0,6,0,0,0,1,0
363,carolee,186.0,JEWELRY,0,0,0,0,0,2,4,0,0,1,7,0,0,0,1,1
364,cartier,12083449.0,JEWELRY,0,0,1,0,0,2,3,0,1,0,7,0,0,0,1,0
365,catbird,54396.0,JEWELRY,0,1,0,0,0,1,2,0,3,0,7,0,0,0,1,0
366,celtic,,JEWELRY,0,0,0,0,0,1,2,0,1,0,6,0,0,0,2,0
367,chamilia,791303.0,JEWELRY,1,0,0,0,1,2,4,0,0,1,8,1,0,0,2,0
368,chanel,571852.0,JEWELRY,0,0,1,0,1,2,2,0,0,0,6,1,0,0,1,0
369,charriol,,JEWELRY,0,0,1,0,1,3,3,0,0,0,8,1,0,0,1,1
370,chopard,7102659.0,JEWELRY,0,1,0,0,1,1,2,0,2,0,7,1,0,0,0,1
371,christofle,6821.0,JEWELRY,0,0,0,0,1,2,3,0,1,1,10,3,0,0,2,1
372,chrysalis,9401.0,JEWELRY,0,0,0,1,1,3,2,0,0,0,9,3,0,0,1,0
373,circa,4062514.0,JEWELRY,1,0,0,0,0,1,2,0,0,1,5,0,0,0,1,0
374,coach,,JEWELRY,0,0,0,1,0,0,2,0,0,0,5,1,0,0,0,1
375,colibri,,JEWELRY,0,0,0,0,0,2,3,0,1,1,7,0,0,0,2,1
376,continental,17863.0,JEWELRY,0,0,1,0,0,4,4,0,2,0,11,0,0,0,2,1
377,coomi,694060.0,JEWELRY,0,0,0,0,0,1,3,0,0,1,5,0,0,0,1,1
378,corso,,JEWELRY,0,0,0,0,0,1,2,0,0,1,5,1,0,0,0,2
379,cosa,,JEWELRY,1,0,0,0,0,0,2,0,0,1,4,1,0,0,0,1
380,crivelli,900920.0,JEWELRY,0,0,0,0,0,3,3,0,0,1,8,1,0,0,3,0
381,crownring,48512.0,JEWELRY,0,1,1,0,0,5,2,0,1,0,9,0,0,0,1,1
382,cruciani,,JEWELRY,0,0,0,0,0,2,4,0,0,1,8,0,0,0,2,1
383,dabakarov,131340.0,JEWELRY,0,0,0,1,0,1,4,1,3,0,9,1,0,0,0,1
384,dacarli,,JEWELRY,0,0,0,0,0,2,3,1,1,1,7,0,0,0,1,0
385,damiani,14611.0,JEWELRY,0,0,0,0,0,2,4,1,1,1,7,0,0,0,2,0
386,danhov,5853.0,JEWELRY,0,0,0,1,0,1,2,1,1,0,6,1,0,0,0,1
387,dannijo,220.0,JEWELRY,0,0,0,0,0,2,3,1,1,1,7,1,0,0,1,1
388,dazzlers,9401.0,JEWELRY,0,0,0,1,0,2,2,1,1,0,8,3,0,0,1,0
389,devocean,1575.0,JEWELRY,0,0,1,0,0,1,4,1,1,0,8,1,0,0,2,1
390,diamond,14861.0,JEWELRY,0,1,0,0,0,2,3,1,2,0,7,0,0,0,1,1
391,dior,604312.0,JEWELRY,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
392,djula,977516.0,JEWELRY,1,0,0,0,0,1,2,1,1,1,5,1,0,0,0,1
393,dnea,3240.0,JEWELRY,1,0,0,0,0,1,2,1,1,1,4,0,0,0,1,0
394,dorfman,322386.0,JEWELRY,0,0,1,0,0,3,2,1,1,0,7,1,0,0,0,1
395,dtc,21538.0,JEWELRY,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0
396,dualitas,,JEWELRY,0,0,0,1,0,1,4,1,2,0,8,1,0,0,1,1
397,dutchcollar,128844.0,JEWELRY,0,0,1,0,0,3,3,1,2,0,11,1,0,0,0,2
398,dway,1356.0,JEWELRY,0,0,0,0,0,2,1,1,1,1,4,0,0,0,1,0
399,earstuds,95895.0,JEWELRY,0,0,0,1,0,1,3,0,2,0,8,2,1,0,1,1
400,effy,206114.0,JEWELRY,0,0,0,0,0,1,1,0,0,1,4,2,1,0,2,0
401,eliko,5641.0,JEWELRY,0,0,0,0,0,1,3,0,1,1,5,0,1,0,2,1
402,elle,1022563.0,JEWELRY,0,0,0,0,0,2,2,0,0,1,4,0,1,0,2,0
403,endless,408323.0,JEWELRY,0,0,0,1,0,2,2,0,1,0,7,2,1,0,2,0
404,enso,117496.0,JEWELRY,0,0,0,0,0,1,2,0,0,1,4,1,1,0,1,1
405,esquire,711740.0,JEWELRY,0,0,0,0,0,1,4,0,0,1,7,1,1,0,3,1
406,ettika,,JEWELRY,1,0,0,0,0,0,3,0,3,1,6,0,1,0,2,0
407,everband,964.0,JEWELRY,0,1,0,0,0,2,3,0,2,0,8,1,1,0,2,0
408,evocateur,15232.0,JEWELRY,0,0,1,0,0,1,5,0,1,0,9,1,1,0,2,2
409,faberge,1586858.0,JEWELRY,0,0,0,0,1,1,3,0,2,1,7,1,0,0,2,0
410,feri,,JEWELRY,0,0,0,0,1,1,2,0,0,1,4,1,0,0,2,0
411,forevermark,16438443.0,JEWELRY,0,1,0,0,1,4,4,0,1,0,11,2,0,0,2,1
412,forziani,1307.0,JEWELRY,0,0,0,0,1,2,4,0,0,1,8,2,0,0,2,1
413,fossil,238289.0,JEWELRY,0,0,1,0,1,1,2,0,0,0,6,3,0,0,1,1
414,gamiss,489.0,JEWELRY,0,0,0,1,0,1,2,1,1,0,6,2,0,0,1,0
415,gemfields,1082383.0,JEWELRY,0,0,0,1,0,2,3,1,2,0,9,2,0,0,2,0
416,gemiana,3160.0,JEWELRY,1,0,0,0,0,2,4,1,1,1,7,0,0,0,2,0
417,gemio,1224.0,JEWELRY,0,0,0,0,0,1,3,1,1,1,5,0,0,0,2,1
418,gemvision,1597.0,JEWELRY,0,0,1,0,0,2,4,1,1,0,9,2,0,0,3,1
419,genesis,172076.0,JEWELRY,0,0,0,1,0,1,3,1,1,0,7,2,0,0,3,0
420,gia,141310.0,JEWELRY,1,0,0,0,0,0,2,1,1,1,3,0,0,0,1,0
421,gielo,220.0,JEWELRY,0,0,0,0,0,1,3,1,1,1,5,0,0,0,1,1
422,givenchy,774910.0,JEWELRY,0,0,0,0,0,2,2,1,1,1,8,2,0,0,3,0
423,global,22511.0,JEWELRY,0,0,1,0,0,2,2,1,2,0,6,0,0,0,0,1
424,gm,3728.0,JEWELRY,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0
425,goldman,26419.0,JEWELRY,0,0,1,0,0,3,2,1,2,0,7,0,0,0,0,1
426,goldstein,130572.0,JEWELRY,0,0,1,0,0,2,3,1,3,0,9,1,0,0,1,1
427,gothrider,,JEWELRY,0,0,1,0,0,2,3,1,3,0,9,1,0,0,2,1
428,graff,2881781.0,JEWELRY,0,0,0,1,0,1,1,1,1,0,5,2,0,0,0,0
429,gucci,929157.0,JEWELRY,0,0,0,0,0,0,2,1,1,1,5,0,0,0,1,1
430,gurhan,283658.0,JEWELRY,0,0,1,0,0,2,2,1,1,0,6,0,0,0,0,1
431,happylaulea,2564.0,JEWELRY,1,0,0,0,0,3,5,0,2,1,11,0,0,0,1,1
432,henne,10614.0,JEWELRY,0,0,0,0,0,2,2,0,0,1,5,0,0,0,2,0
433,herco,69101.0,JEWELRY,0,0,0,0,0,1,2,0,0,1,5,0,0,0,1,1
434,hermes,4150101.0,JEWELRY,0,0,0,1,0,2,2,0,0,0,6,1,0,0,2,0
435,hidalgo,834.0,JEWELRY,0,0,0,0,0,1,3,0,2,1,7,0,0,0,1,1
436,hinsongayle,,JEWELRY,0,0,0,0,0,4,4,0,1,1,11,1,0,0,2,1
437,hiraco,,JEWELRY,0,0,0,0,0,1,3,0,0,1,6,0,0,0,1,1
438,honora,208401.0,JEWELRY,1,0,0,0,0,2,3,0,0,1,6,0,0,0,0,2
439,hublot,135016.0,JEWELRY,0,1,0,0,0,1,2,0,2,0,6,0,0,0,0,2
440,imperial,21341.0,JEWELRY,0,0,1,0,0,3,4,0,1,0,8,0,1,0,3,0
441,induo,19.0,JEWELRY,0,0,0,0,0,1,3,0,1,1,5,0,1,0,1,2
442,inox,11001.0,JEWELRY,0,0,0,0,0,1,2,0,0,0,4,0,1,0,1,1
443,ippolita,5496.0,JEWELRY,1,0,0,0,0,1,4,0,3,1,8,0,1,0,2,1
444,ironman,,JEWELRY,0,0,1,0,0,4,3,0,0,0,7,0,1,0,1,1
445,isharya,,JEWELRY,1,0,0,0,0,2,3,0,0,1,7,1,1,0,1,0
446,jennybird,,JEWELRY,0,1,0,0,1,4,2,0,2,0,9,1,0,0,2,0
447,jeulia,26688.0,JEWELRY,1,0,0,0,1,1,4,0,0,1,6,1,0,0,2,1
448,jewelex,45221.0,JEWELRY,0,0,0,0,1,2,3,0,0,0,7,1,0,0,3,0
449,jewelmer,250038.0,JEWELRY,0,0,1,0,1,4,3,0,0,0,8,1,0,0,3,0
450,joden,11015.0,JEWELRY,0,0,1,0,1,1,2,0,1,0,5,1,0,0,1,1
451,jostens,187033.0,JEWELRY,0,0,0,1,1,1,2,0,1,0,7,3,0,0,1,1
452,kameleon,16923.0,JEWELRY,0,0,1,0,0,3,4,1,1,0,8,0,0,0,2,1
453,kgk,37604.0,JEWELRY,0,1,0,0,0,0,0,1,3,0,3,0,0,0,0,0
454,khailo,272.0,JEWELRY,0,0,0,0,0,1,3,1,1,1,6,0,0,0,1,1
455,khom,,JEWELRY,0,0,1,0,0,1,1,1,1,0,4,0,0,0,0,1
456,kiran,1341.0,JEWELRY,0,0,1,0,0,2,2,1,1,0,5,0,0,0,1,0
457,kkgi,4231.0,JEWELRY,0,0,0,0,0,0,1,1,3,1,4,0,0,0,1,0
458,knot,37604.0,JEWELRY,0,1,0,0,0,1,1,1,2,0,4,0,0,0,0,1
459,kobelli,,JEWELRY,0,0,0,0,0,2,3,1,2,1,7,0,0,0,2,1
460,kozi,4561.0,JEWELRY,0,0,0,0,0,0,2,1,1,1,4,1,0,0,1,1
461,krikawa,,JEWELRY,1,0,0,0,0,2,3,1,2,1,7,0,0,0,1,0
462,kristall,,JEWELRY,0,0,1,0,0,3,2,1,2,0,8,1,0,0,1,0
463,kwiat,1277451.0,JEWELRY,0,1,0,0,0,1,2,1,2,0,5,0,0,0,1,0
464,lagos,446368.0,JEWELRY,0,0,0,1,0,1,2,0,1,0,5,1,0,1,0,1
465,lalique,3500.0,JEWELRY,0,0,0,0,0,2,4,0,0,1,7,0,0,1,2,1
466,lana,12000.0,JEWELRY,1,0,0,0,0,2,2,0,0,1,4,0,0,1,0,0
467,lashbrook,84333.0,JEWELRY,0,1,0,0,0,2,3,0,2,0,9,1,0,1,0,1
468,lavaggi,3436.0,JEWELRY,0,0,0,0,0,1,3,0,2,1,7,1,0,1,1,0
469,leslie,21896.0,JEWELRY,0,0,0,0,0,2,3,0,0,1,6,1,0,1,2,0
470,liberty,2539.0,JEWELRY,0,0,0,0,0,3,2,0,2,1,7,0,0,1,3,0
471,lift,,JEWELRY,0,1,0,0,0,1,1,0,1,0,4,1,0,1,1,0
472,lili,32781.0,JEWELRY,0,0,0,0,0,2,2,0,0,1,4,0,0,1,2,0
473,livingstone,23880.0,JEWELRY,0,0,0,0,0,3,4,0,2,1,11,2,0,1,3,1
474,lokai,32099.0,JEWELRY,0,0,0,0,0,1,3,0,1,1,5,0,0,1,1,1
475,lotus,45174.0,JEWELRY,0,0,0,1,0,1,2,0,1,0,5,1,0,1,0,2
476,lunkae,,JEWELRY,0,0,0,0,0,2,3,0,1,1,6,0,0,1,1,1
477,luvente,107268.0,JEWELRY,0,0,0,0,0,2,3,0,1,1,7,1,0,1,2,1
478,madani,1344.0,JEWELRY,0,0,0,0,0,2,3,0,1,1,6,0,0,1,1,0
479,majorica,300.0,JEWELRY,1,0,0,0,0,2,4,0,0,1,8,1,0,1,1,1
480,mantraband,12018.0,JEWELRY,0,1,0,0,0,4,3,0,3,0,10,0,0,1,0,0
481,marika,45221.0,JEWELRY,1,0,0,0,0,2,3,0,1,1,6,0,0,1,1,0
482,marli,121620.0,JEWELRY,0,0,0,0,0,3,2,0,0,1,5,0,0,1,1,0
483,mastoloni,298377.0,JEWELRY,0,0,0,0,0,3,4,0,1,1,9,1,0,1,1,2
484,mattioli,590730.0,JEWELRY,0,0,0,0,0,2,4,0,2,1,8,0,0,1,2,1
485,messika,1316344.0,JEWELRY,1,0,0,0,0,1,3,0,1,1,7,2,0,1,2,0
486,metalicious,25921.0,JEWELRY,0,0,0,1,0,2,6,0,1,0,11,1,0,1,3,1
487,miansai,27581.0,JEWELRY,0,0,0,0,0,2,4,0,0,1,7,1,0,1,2,0
488,michele,115.0,JEWELRY,0,0,0,0,0,2,3,0,0,1,7,1,0,1,3,0
489,michou,2539.0,JEWELRY,0,0,0,0,0,1,3,0,0,1,6,1,0,1,1,1
490,midas,177243.0,JEWELRY,0,0,0,1,0,1,2,0,1,0,5,1,0,1,1,0
491,mikimoto,5152165.0,JEWELRY,0,0,0,0,0,2,4,0,2,1,8,0,0,1,2,2
492,milano,523.0,JEWELRY,0,0,0,0,0,3,3,0,0,1,6,0,0,1,1,1
493,mioro,40143.0,JEWELRY,0,0,0,0,0,2,3,0,0,1,5,0,0,1,1,2
494,misahara,322090.0,JEWELRY,1,0,0,0,0,2,4,0,0,1,8,1,0,1,1,0
495,mister,6088.0,JEWELRY,0,0,1,0,0,2,2,0,1,0,6,1,0,1,2,0
496,mokumeganeya,314.0,JEWELRY,1,0,0,0,0,4,6,0,2,1,12,0,0,1,2,2
497,motif,28001.0,JEWELRY,0,0,0,1,0,1,2,0,1,0,5,1,0,1,1,1
498,movado,376794.0,JEWELRY,0,0,0,0,0,1,3,0,1,1,6,1,0,1,0,2
