,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
54,maxbp,54.0,BASEBALL_EQUIPMENT,0,1,0,0,0,1,1,0,2,0,5,0,0,1,0,0
55,miken,0.0,BASEBALL_EQUIPMENT,0,0,1,0,0,2,2,0,1,0,5,0,0,1,2,0
56,prorollers,,BASEBALL_EQUIPMENT,0,0,0,1,0,5,3,1,1,0,10,1,0,0,1,2
57,rawlings,,BASEBALL_EQUIPMENT,0,0,0,1,0,4,2,0,1,0,8,1,0,1,1,0
58,ssk,303.0,BASEBALL_EQUIPMENT,0,1,0,0,1,0,0,0,1,0,3,2,0,0,0,0
59,wilson,2971.0,BASEBALL_EQUIPMENT,0,0,1,0,0,3,2,0,0,0,6,1,0,1,1,1
60,worth,0.0,BASEBALL_EQUIPMENT,0,0,0,1,0,2,1,0,1,0,5,1,0,1,0,1
61,acura,45438413.0,CARS_TRUCKS,1,0,0,0,0,1,3,0,0,1,5,0,1,0,0,1
62,audi,43254206.0,CARS_TRUCKS,0,0,0,0,0,0,3,0,1,1,4,0,1,0,1,1
63,bentley,1545639.0,CARS_TRUCKS,0,0,0,0,0,3,2,1,2,1,7,0,0,0,3,0
64,bmw,39981525.0,CARS_TRUCKS,0,0,0,0,0,2,0,1,1,0,3,0,0,0,0,0
65,buick,23155217.0,CARS_TRUCKS,0,1,0,0,0,0,2,1,2,0,5,0,0,0,1,1
66,cadillac,65802440.0,CARS_TRUCKS,0,0,0,0,0,2,3,0,1,0,8,0,0,0,1,0
67,chevrolet,231297562.0,CARS_TRUCKS,0,1,0,0,1,2,3,0,1,0,9,2,0,0,2,1
68,chrysler,6004111.0,CARS_TRUCKS,0,0,1,0,1,4,1,0,0,0,8,2,0,0,1,0
69,citroen,,CARS_TRUCKS,0,0,1,0,0,2,3,0,1,0,7,0,0,0,2,1
70,dacia,,CARS_TRUCKS,1,0,0,0,0,0,3,1,1,1,5,0,0,0,1,0
71,datsun,,CARS_TRUCKS,0,0,1,0,0,1,2,1,2,0,6,1,0,0,0,1
72,dodge,33424518.0,CARS_TRUCKS,0,0,0,1,0,0,2,1,3,1,5,0,0,0,1,1
73,ferrari,30587.0,CARS_TRUCKS,0,0,0,0,1,3,3,0,0,1,7,1,0,0,2,0
74,fiat,3234145.0,CARS_TRUCKS,0,1,0,0,1,0,2,0,1,0,4,1,0,0,1,0
75,ford,348912563.0,CARS_TRUCKS,0,1,0,0,1,1,1,0,1,0,4,1,0,0,0,1
76,genesis,38949978.0,CARS_TRUCKS,0,0,0,1,0,1,3,1,1,0,7,2,0,0,3,0
77,holden,,CARS_TRUCKS,0,0,1,0,0,2,2,0,1,0,6,0,0,0,1,1
78,honda,29440056.0,CARS_TRUCKS,1,0,0,0,0,1,2,0,1,1,5,0,0,0,0,1
79,hyundai,45727948.0,CARS_TRUCKS,0,0,0,0,0,2,3,0,1,1,7,0,0,0,1,1
80,infiniti,17205116.0,CARS_TRUCKS,0,0,0,0,0,2,4,0,1,1,8,1,1,0,4,0
81,jaguar,7360651.0,CARS_TRUCKS,0,0,1,0,1,1,3,0,1,0,6,1,0,0,0,1
82,kia,10687965.0,CARS_TRUCKS,1,0,0,0,0,0,2,1,1,1,3,0,0,0,1,0
83,lexus,70757450.0,CARS_TRUCKS,0,0,0,1,0,1,2,0,0,0,5,1,0,1,1,1
84,lincoln,10263062.0,CARS_TRUCKS,0,0,1,0,0,4,2,0,0,0,7,0,0,1,1,1
85,maserati,2345118.0,CARS_TRUCKS,0,0,0,0,0,2,4,0,1,1,8,1,0,1,2,0
86,mazda,71255598.0,CARS_TRUCKS,1,0,0,0,0,1,2,0,1,1,5,1,0,1,0,0
87,mini,7848011.0,CARS_TRUCKS,0,0,0,0,0,2,2,0,0,1,4,0,0,1,2,0
88,mitsubishi,441877.0,CARS_TRUCKS,0,0,0,0,0,1,4,0,2,1,10,2,0,1,3,1
89,nissan,207086084.0,CARS_TRUCKS,0,0,1,0,0,2,2,0,0,0,6,2,0,1,1,0
90,pagani,157880.0,CARS_TRUCKS,0,0,0,0,0,1,3,1,2,1,6,0,0,0,1,0
91,peugeot,8404.0,CARS_TRUCKS,0,1,0,0,0,0,4,1,3,0,7,0,0,0,2,2
92,porsche,2188360.0,CARS_TRUCKS,0,0,0,0,0,1,2,1,1,1,7,2,0,0,1,1
93,renault,4426.0,CARS_TRUCKS,0,1,0,0,0,3,3,0,1,0,7,0,0,1,1,1
94,scion,60235.0,CARS_TRUCKS,0,0,1,0,1,1,2,0,0,0,5,1,0,0,1,1
95,smart,2208807.0,CARS_TRUCKS,0,1,0,0,1,2,1,0,1,0,5,1,0,0,0,0
96,subaru,209532341.0,CARS_TRUCKS,0,0,0,0,1,1,3,0,1,1,6,1,0,0,0,2
97,suzuki,422.0,CARS_TRUCKS,0,0,0,0,1,0,3,0,1,1,6,2,0,0,1,2
98,tesla,889.0,CARS_TRUCKS,1,0,0,0,0,1,2,1,1,1,5,1,0,0,1,0
99,toyota,93958963.0,CARS_TRUCKS,1,0,0,0,0,1,3,1,2,1,6,0,0,0,0,2
100,vauxhall,,CARS_TRUCKS,0,0,1,0,1,2,3,0,0,0,8,1,0,0,0,1
101,volkswagen,13523420.0,CARS_TRUCKS,0,0,1,0,1,3,3,0,2,0,10,2,0,0,1,1
102,volvo,2159686.0,CARS_TRUCKS,0,0,0,0,1,1,2,0,0,1,5,2,0,0,0,2
103,aerin,108.0,COSMETICS,0,0,1,0,0,2,3,0,0,0,5,0,1,0,2,0
104,allure,4235.0,COSMETICS,0,0,0,0,0,3,3,0,0,1,6,0,1,0,1,1
105,almay,97461.0,COSMETICS,0,0,0,0,0,3,2,0,0,1,5,0,1,0,1,0
106,alzeyna,508.0,COSMETICS,1,0,0,0,0,3,3,0,0,1,7,1,1,0,1,0
107,ambi,2001.0,COSMETICS,0,0,0,0,0,1,2,0,1,1,4,0,1,0,1,0
108,anytime,3857.0,COSMETICS,0,0,0,0,0,3,3,0,1,1,7,0,1,0,2,0
