,0,1,2,3,4
0,Feature,Overall Accuracy,Male Accuracy,Female Accuracy,Runtime
1,A ending?,0.6524891351362485,0.973780386510881,0.46220320083956445,45.44715237617493
2,"Plosive ending? (p,b,t,d,k,g)",0.6606867005828923,0.11766985990364914,0.9822904368358913,22.440940618515015
3,"Sonorant ending? (m,n,ng,l,r)",0.7212724763650594,0.45797109474500247,0.8772136953955135,17.698195695877075
4,"Fricative ending? (f,v,th,s,z,sh,ch,dge)",0.6582665650553027,0.1224043413256548,0.9756329529056802,16.74102759361267
5,"1st letter fricative? (f,v,th,s,z,sh,ch,j)",0.6280406170830672,0.0,1.0,15.287570476531982
6,"Total # of sonorants (m,n,l,r,w,y)",0.6280406170830672,0.0,1.0,15.61092233657837
7,"Total # of vowels (a, e, i, o, u)",0.6338386439002286,0.0885707957251232,0.9567755476846386,15.116394996643066
8,"1st letter plosive? (p,b,t,d,k,g)",0.6280406170830672,0.0,1.0,14.237435817718506
9,"Total # of plosives  (p,b,t,d,k,g)",0.6263001791930135,0.024613765989257436,0.9826511871966418,14.815951347351074
10,"VowelEnding? (a, e, i, o, u,y)",0.7509423080884019,0.7286948336009745,0.7641184573002755,14.192154884338379
11,# of letters,0.6307079153879426,0.017138269007143252,0.9940968122786304,15.393373489379883
12,"# of fricatives (f,v,th,s,z,sh,ch,j)",0.6284422565961566,0.0014120383188437897,0.9998032270759544,15.282981872558594
13,"1st letter vowel? (a, e, i, o, u)",0.6280406170830672,0.0,1.0,15.720352411270142
14,"1st letter sonorant? (m,n,l,r,w,y)",0.6280406170830672,0.0,1.0,14.677476167678833
15,Front Vowels,0.6280406170830672,0.0,1.0,14.98876166343689
16,Back Vowels,0.6499866120162303,0.48452295254443767,0.7479830775285321,14.850857734680176
